customer_id,customer_name,branch_code,branch_name,customer_pan_card_no,customer_adhar_card_no,date_of_birth,address,name_of_city,state_name,state_code,country,zip_code,mobile_no,kyc_status,risk_id,income_slab,kyc_number,crn_unique_id,account_type,nationality,sip_status,has_demat_account,demat_account_no,networth,sip_amount,age
0,Purab Choudhary,100,Abohar,3800228131,249461771695,1979-12-03,"59
Rao Chowk",0,PUNJAB,3,India,400000,912710298956,Pending,2,High,982476,346a04c7-653d-4edd-a3cb-6d66ff3d6b76,Current,Indian,No,No,,4108881.34,0.0,79
1,Dhanuk Sawhney,101,Achalpur,9373545607,368459715549,1996-07-21,"49/110
Bhatia Chowk",1,MAHARASHTRA,27,India,400001,8746797465,Pending,4,Medium,817977,c68345e8-0de1-4c12-b8f5-540cdd885508,Savings,Indian,Yes,Yes,4465113346.0,236515.43,4748.26,19
2,Vardaniya Master,102,Adilabad,4835501359,418526656209,1975-12-22,"82/74, Kibe",2,ANDHRA PRADESH,28,India,400002,914450317183,Verified,2,Medium,861928,37ca78f0-82a4-461b-94cb-47eb4d5bb794,Savings,Indian,Yes,Yes,7531434534.0,1285558.88,29451.33,66
3,Aniruddh Ramakrishnan,103,Adityapur,2342379187,465301930473,1961-08-05,"837
Dyal Circle",3,JHARKHAND,20,India,400003,6886199568,Pending,1,High,492635,f969bd5c-1e62-4ad9-8456-b6e7bb882593,Current,Indian,Yes,Yes,3664930899.0,7072801.65,31966.45,36
4,Azad Madan,104,Adoni,2851366087,862010278094,1993-09-09,"H.No. 372, Krishnan Nagar",4,ANDHRA PRADESH,28,India,400004,916136017468,Verified,4,Medium,583144,8a10782a-4c35-4534-9c75-c7edfb0b0195,Savings,Indian,Yes,Yes,1133665235.0,5380344.8,76840.16,59
5,Ivana Kalla,105,Agartala,5718799421,247035619392,1966-09-20,"H.No. 623
Chaudhuri Zila",5,TRIPURA,16,India,400005,8216266769,Rejected,4,High,939763,4570b3d6-98e2-43a0-9b12-78c3505d01a2,Current,Indian,Yes,Yes,4283207850.0,6807438.89,14656.33,36
6,Trisha Chand,106,Agra,2160433748,761660673401,1969-11-01,"624, Sem Street",6,UTTAR PRADESH,9,India,400006,9211866972,Rejected,4,Medium,949201,a07fb53a-4808-4b7f-8037-80b5959dcb9b,Savings,Indian,Yes,No,,1497418.04,90147.84,67
7,Samiha Kohli,107,Ahmadabad,4056611682,214531188669,1973-08-05,"74/820, Borra Circle",7,GUJARAT,24,India,400007,7480768502,Rejected,1,Medium,310455,b96e3e46-34b8-421a-a4a0-f8498e252406,Savings,Indian,Yes,Yes,1989311925.0,2925604.09,40359.53,35
8,Rati Bath,108,Ahmadnagar,1017799793,454383764883,1988-04-23,"42
Char Nagar",8,MAHARASHTRA,27,India,400008,4558798359,Pending,3,High,735993,2407c3e7-8dcd-4716-b01e-2041b34cdeb8,Savings,Indian,No,Yes,2379101834.0,245065.68,0.0,19
9,Lakshay Dar,109,Aizawl,5223159167,712790356143,1959-09-02,"11/571, Chakrabarti Street",9,MIZORAM,15,India,400009,915814511221,Pending,4,Medium,151323,3a8d5562-0aa2-4b24-a240-63b8ef62917c,Savings,Indian,Yes,No,,2865046.83,64898.79,62
